ID	Startzeit	Fertigstellungszeit	E-Mail	Name	Aussprache	Aufwachsen	Lebensmittelpunkt	Alter
427	3.26.20 17:28:31	3.26.20 17:29:07	anonymous		karantäne	Nordrhein-Westfalen	Schleswig-Holstein	31-40
428	3.26.20 17:29:09	3.26.20 17:29:28	anonymous		karantäne	Baden-Württemberg	Schweiz	41-50
429	3.26.20 17:28:33	3.26.20 17:29:45	anonymous		karantäne	Niedersachsen	Hamburg	41-50
430	3.26.20 17:32:15	3.26.20 17:33:17	anonymous		karantäne	Brandenburg	Berlin	18-30
431	3.26.20 17:33:25	3.26.20 17:34:40	anonymous		karantäne	Sachsen-Anhalt	Sachsen	41-50
432	3.26.20 17:34:21	3.26.20 17:34:52	anonymous		kwarantäne	Mecklenburg-Vorpommern	Mecklenburg-Vorpommern	51-60
433	3.26.20 17:46:11	3.26.20 17:46:56	anonymous		kwarantäne	Sachsen	Berlin	41-50
434	3.26.20 17:51:19	3.26.20 17:51:44	anonymous		karantäne	Hamburg	Niedersachsen	41-50
435	3.26.20 17:56:06	3.26.20 17:58:07	anonymous		karantäne	Baden-Württemberg	Baden-Württemberg	31-40
436	3.26.20 17:58:28	3.26.20 17:59:06	anonymous		karantäne	Hessen	Hessen	31-40
437	3.26.20 17:59:15	3.26.20 17:59:37	anonymous		karantäne	Bayern	Bayern	31-40
438	3.26.20 18:00:04	3.26.20 18:00:41	anonymous		karantäne	Niedersachsen	Niedersachsen	18-30
439	3.26.20 18:07:17	3.26.20 18:07:50	anonymous		karantäne	Hessen	Hessen	31-40
440	3.26.20 18:11:34	3.26.20 18:11:55	anonymous		karantäne	Schleswig-Holstein	Baden-Württemberg	31-40
441	3.26.20 18:12:14	3.26.20 18:13:05	anonymous		karantäne	Nordrhein-Westfalen	Brandenburg	41-50
442	3.26.20 18:15:28	3.26.20 18:16:07	anonymous		karantäne	Schleswig-Holstein	Berlin	51-60
443	3.26.20 18:32:44	3.26.20 18:33:09	anonymous		karantäne	Niedersachsen	Sachsen	18-30
444	3.26.20 18:32:46	3.26.20 18:33:15	anonymous		karantäne	Berlin	Rheinland-Pfalz	41-50
445	3.26.20 18:43:23	3.26.20 18:43:58	anonymous		karantäne	Sachsen	Sachsen	31-40
446	3.26.20 18:49:58	3.26.20 18:50:33	anonymous		kwarantäne	Sachsen	Hessen	41-50
447	3.26.20 19:42:58	3.26.20 19:46:06	anonymous		karantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	41-50
448	3.26.20 19:52:16	3.26.20 19:52:45	anonymous		karantäne	Thüringen	Berlin	41-50
449	3.26.20 19:59:36	3.26.20 20:00:15	anonymous		karantäne	Rheinland-Pfalz	Rheinland-Pfalz	31-40
450	3.26.20 20:08:25	3.26.20 20:08:56	anonymous		karantäne	Hamburg	Berlin	41-50
